                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.85654,                 0.6648,                 1.1182,                0.94687,                 0.6981,                 1.1294,                0.55141,                 0.5828,                 0.4757,                0.26448,                 1.6765,                 1.9124,                  2.002,                 1.7104,                 2.1757,                 1.8855,             0.00057572,             0.00057572,             0.00057572
                     76,                0.85569,                0.65316,                 1.1178,                0.94255,                0.68791,                 1.1284,                 0.5232,                0.55663,                0.45063,                0.25436,                 1.6903,                 2.0208,                 2.0136,                 1.7203,                 2.3064,                 1.8934,             0.00056839,             0.00056839,             0.00056839
                     77,                0.85355,                0.65823,                 1.1177,                0.93916,                0.69263,                 1.1296,                0.51365,                0.53223,                0.43539,                0.24694,                 1.6749,                  2.021,                 1.9996,                 1.7065,                 2.3106,                 1.8902,             0.00056105,             0.00056105,             0.00056105
                     78,                0.86065,                0.66644,                 1.1238,                0.94775,                0.70251,                 1.1344,                 0.5016,                0.54877,                0.43993,                0.24705,                 1.6929,                 2.0081,                  2.018,                 1.7173,                 2.3005,                 1.8906,             0.00055372,             0.00055372,             0.00055372
                     79,                0.85399,                 0.6512,                 1.1155,                0.94259,                0.68099,                 1.1265,                0.51983,                 0.5525,                0.46092,                0.26108,                 1.6816,                 1.9603,                 2.0075,                 1.7231,                 2.2301,                 1.9023,             0.00054639,             0.00054639,             0.00054639
                     80,                 0.8456,                0.63795,                 1.1045,                0.93439,                0.67116,                 1.1158,                0.52843,                0.53971,                0.45695,                0.25955,                 1.6748,                 1.9523,                 1.9912,                 1.7157,                 2.2158,                 1.8903,             0.00053906,             0.00053906,             0.00053906
                     81,                 0.8448,                0.63649,                 1.1078,                0.93241,                0.67123,                  1.119,                0.52573,                0.54319,                0.45364,                0.25146,                  1.685,                 2.0025,                  1.998,                 1.7187,                 2.2745,                 1.8998,             0.00053172,             0.00053172,             0.00053172
                     82,                0.84628,                0.64682,                 1.1113,                0.93193,                0.67694,                 1.1221,                0.51783,                0.52661,                0.44394,                0.24884,                 1.6892,                 2.0559,                  1.998,                 1.7166,                 2.3338,                 1.8826,             0.00052439,             0.00052439,             0.00052439
                     83,                0.84434,                0.63209,                 1.1099,                0.93305,                 0.6585,                 1.1215,                0.54715,                0.52842,                0.45841,                0.25617,                 1.6877,                 2.0747,                 2.0119,                 1.7165,                 2.3468,                 1.9042,             0.00051706,             0.00051706,             0.00051706
                     84,                0.85023,                0.63909,                 1.1145,                0.93653,                0.66893,                 1.1246,                 0.5307,                0.55229,                0.45806,                0.25696,                 1.6855,                 2.0522,                 2.0348,                 1.7203,                  2.329,                 1.9272,             0.00050973,             0.00050973,             0.00050973
                     85,                0.83597,                 0.6216,                 1.1071,                0.92294,                 0.6471,                 1.1175,                0.52659,                0.55365,                  0.444,                0.24656,                 1.6893,                 2.0924,                 2.0396,                 1.7258,                  2.371,                 1.9239,             0.00050239,             0.00050239,             0.00050239
                     86,                0.84161,                0.62839,                 1.1093,                0.92565,                0.65932,                 1.1199,                0.53456,                0.54973,                0.44842,                0.24738,                 1.6836,                 2.0446,                 2.0185,                 1.7211,                 2.3254,                 1.9081,             0.00049506,             0.00049506,             0.00049506
                     87,                0.83366,                0.60766,                 1.0986,                0.91924,                0.63843,                 1.1085,                0.54451,                0.54059,                0.45373,                0.25154,                 1.6868,                  2.096,                 2.0213,                 1.7238,                 2.3764,                 1.9197,             0.00048773,             0.00048773,             0.00048773
                     88,                0.83636,                0.61338,                 1.0944,                0.92196,                0.64163,                 1.1061,                0.55253,                0.55836,                0.45951,                0.24947,                 1.6684,                 2.0379,                 2.0076,                 1.7172,                 2.3035,                 1.9136,              0.0004804,              0.0004804,              0.0004804
                     89,                0.82945,                0.60561,                 1.0939,                0.91599,                0.63252,                 1.1053,                0.54553,                0.55996,                0.45752,                0.24905,                 1.6955,                 2.1118,                 2.0395,                 1.7261,                 2.3972,                 1.9253,             0.00047306,             0.00047306,             0.00047306
                     90,                0.83209,                0.60858,                 1.1013,                0.91806,                0.63683,                 1.1132,                0.51932,                0.53429,                0.43274,                0.23874,                 1.7033,                 2.1264,                 2.0337,                   1.73,                 2.4297,                 1.9224,             0.00046573,             0.00046573,             0.00046573
                     91,                0.82579,                0.60724,                 1.0953,                0.91008,                0.63671,                 1.1057,                0.51021,                0.53474,                0.42969,                0.24245,                 1.7019,                 2.0758,                 2.0314,                 1.7329,                 2.3714,                  1.921,              0.0004584,              0.0004584,              0.0004584
                     92,                0.83024,                 0.6006,                 1.1014,                0.91427,                0.62837,                 1.1117,                0.52442,                0.52895,                0.44101,                0.24059,                 1.6986,                 2.1109,                 2.0362,                 1.7313,                 2.3903,                 1.9293,             0.00045107,             0.00045107,             0.00045107
                     93,                0.82742,                0.59877,                 1.0952,                0.90889,                0.62667,                 1.1054,                0.52854,                0.52065,                0.43824,                0.24233,                 1.6925,                 2.0963,                 2.0383,                 1.7378,                 2.3889,                 1.9439,             0.00044373,             0.00044373,             0.00044373
                     94,                 0.8279,                0.59614,                 1.0998,                0.91138,                0.62146,                 1.1097,                0.51671,                0.54228,                0.44744,                0.24743,                 1.7044,                 2.0986,                  2.039,                  1.742,                  2.398,                  1.932,              0.0004364,              0.0004364,              0.0004364
                     95,                0.82713,                0.59071,                 1.0975,                0.91284,                0.61868,                 1.1085,                0.53446,                0.55397,                0.44523,                 0.2455,                 1.7025,                 2.1029,                 2.0427,                 1.7428,                 2.3956,                 1.9326,             0.00042907,             0.00042907,             0.00042907
                     96,                0.82057,                0.58821,                 1.0885,                0.90358,                0.61296,                 1.0995,                0.52361,                0.55466,                0.44772,                0.24719,                 1.7137,                 2.1095,                 2.0459,                 1.7497,                 2.3942,                 1.9361,             0.00042174,             0.00042174,             0.00042174
                     97,                0.81406,                0.59106,                  1.085,                0.89576,                0.61438,                 1.0972,                0.52766,                0.54155,                 0.4531,                0.24703,                 1.7259,                 2.1159,                 2.0569,                  1.753,                 2.4058,                 1.9343,              0.0004144,              0.0004144,              0.0004144
                     98,                0.82378,                0.58531,                 1.0887,                0.90561,                0.60932,                 1.0993,                0.52291,                0.53304,                0.43782,                0.24072,                 1.7292,                 2.1507,                 2.0733,                 1.7551,                 2.4599,                 1.9483,             0.00040707,             0.00040707,             0.00040707
                     99,                 0.8122,                0.57643,                 1.0889,                 0.8937,                0.59855,                 1.0995,                0.52781,                0.55134,                0.44136,                0.24318,                 1.7149,                 2.1751,                 2.0575,                 1.7463,                 2.4818,                 1.9408,             0.00039974,             0.00039974,             0.00039974
                    100,                0.81407,                0.57672,                 1.0928,                0.89692,                0.59787,                 1.1051,                0.52163,                0.55117,                0.43921,                0.24133,                 1.7312,                 2.1836,                 2.0765,                 1.7592,                 2.4966,                  1.958,             0.00039241,             0.00039241,             0.00039241
                    101,                0.81267,                0.56594,                 1.0866,                0.89328,                0.58627,                 1.0983,                0.53226,                0.54071,                0.43932,                0.24236,                 1.7221,                 2.1766,                 2.0792,                 1.7546,                 2.4923,                 1.9561,             0.00038507,             0.00038507,             0.00038507
                    102,                0.80955,                0.57042,                 1.0839,                0.89102,                0.59329,                 1.0952,                0.53488,                0.53768,                0.44125,                0.24616,                 1.7215,                 2.1761,                 2.0764,                 1.7533,                 2.4849,                 1.9561,             0.00037774,             0.00037774,             0.00037774
                    103,                0.80318,                0.55716,                 1.0787,                0.88476,                0.57697,                 1.0899,                0.54488,                0.52545,                0.45175,                0.25255,                 1.7213,                 2.1395,                 2.0742,                 1.7577,                 2.4505,                 1.9544,             0.00037041,             0.00037041,             0.00037041
                    104,                0.80746,                0.56976,                 1.0845,                0.88948,                0.59063,                 1.0956,                0.53871,                0.55473,                0.45787,                0.24962,                 1.7132,                 2.1435,                 2.0832,                 1.7514,                 2.4479,                  1.951,             0.00036307,             0.00036307,             0.00036307
                    105,                0.80711,                0.56269,                 1.0859,                0.88879,                0.58345,                 1.0965,                0.53829,                0.53837,                0.44967,                0.24472,                 1.7259,                 2.1781,                 2.0857,                 1.7474,                  2.481,                 1.9453,             0.00035574,             0.00035574,             0.00035574
                    106,                0.80091,                0.55566,                 1.0827,                0.88273,                0.57358,                 1.0935,                0.54974,                0.55221,                0.45906,                0.25101,                 1.7061,                 2.1541,                  2.065,                 1.7337,                 2.4582,                 1.9353,             0.00034841,             0.00034841,             0.00034841
                    107,                0.79508,                0.55118,                 1.0749,                0.87652,                0.56751,                 1.0864,                0.54058,                0.53407,                0.45001,                0.24761,                 1.7149,                  2.171,                 2.0714,                  1.754,                 2.4654,                 1.9495,             0.00034108,             0.00034108,             0.00034108
                    108,                0.79721,                0.55215,                 1.0796,                0.87941,                0.57281,                 1.0904,                0.53899,                0.53095,                 0.4448,                0.24539,                 1.7231,                 2.1579,                 2.0922,                 1.7517,                 2.4906,                 1.9564,             0.00033374,             0.00033374,             0.00033374
                    109,                0.79372,                0.54718,                 1.0759,                0.87244,                0.56556,                 1.0869,                0.52372,                0.54082,                0.44481,                0.24386,                 1.7281,                 2.2081,                 2.0921,                 1.7496,                  2.539,                 1.9482,             0.00032641,             0.00032641,             0.00032641
                    110,                 0.7956,                 0.5438,                 1.0771,                0.87663,                0.55767,                 1.0872,                0.53648,                0.54117,                 0.4452,                0.24354,                 1.7268,                 2.1758,                 2.0648,                 1.7532,                 2.5132,                 1.9381,             0.00031908,             0.00031908,             0.00031908
                    111,                 0.7964,                0.54244,                 1.0747,                0.87485,                0.55856,                 1.0851,                0.53767,                0.53397,                0.44884,                0.25076,                 1.7194,                   2.19,                 2.0684,                 1.7523,                 2.5086,                 1.9445,             0.00031175,             0.00031175,             0.00031175
                    112,                0.79064,                0.53829,                 1.0729,                0.87212,                 0.5523,                 1.0845,                0.53949,                0.53755,                0.45676,                 0.2558,                 1.7177,                 2.1543,                 2.0749,                 1.7504,                 2.4741,                 1.9394,             0.00030441,             0.00030441,             0.00030441
                    113,                0.79068,                0.53714,                 1.0711,                0.87066,                0.55306,                 1.0819,                 0.5445,                0.54648,                0.45745,                 0.2544,                 1.7184,                 2.1745,                 2.0749,                 1.7569,                 2.4673,                 1.9518,             0.00029708,             0.00029708,             0.00029708
                    114,                0.78972,                0.53284,                 1.0663,                0.87085,                0.55089,                 1.0773,                0.53986,                 0.5469,                0.45428,                0.25029,                 1.7294,                  2.205,                 2.0851,                 1.7586,                 2.5151,                  1.948,             0.00028975,             0.00028975,             0.00028975
                    115,                0.78616,                0.52806,                 1.0703,                0.86749,                0.54316,                 1.0814,                0.54556,                0.54145,                0.44652,                0.24444,                 1.7359,                 2.2209,                 2.1026,                 1.7621,                 2.5471,                 1.9563,             0.00028242,             0.00028242,             0.00028242
                    116,                 0.7822,                0.53647,                 1.0684,                0.86146,                0.55021,                 1.0803,                0.53975,                0.55822,                0.44253,                0.23653,                 1.7421,                 2.2468,                 2.1079,                 1.7675,                 2.5566,                 1.9651,             0.00027508,             0.00027508,             0.00027508
                    117,                0.77687,                0.51639,                 1.0606,                0.85699,                0.53008,                 1.0715,                0.55778,                0.54014,                 0.4508,                 0.2452,                 1.7343,                 2.2388,                 2.1066,                 1.7588,                 2.5546,                 1.9601,             0.00026775,             0.00026775,             0.00026775
                    118,                0.78427,                0.52296,                 1.0687,                0.86146,                0.53671,                   1.08,                0.54463,                0.52692,                 0.4349,                0.23707,                 1.7404,                 2.2808,                  2.111,                 1.7609,                 2.6125,                  1.962,             0.00026042,             0.00026042,             0.00026042
                    119,                0.77871,                 0.5178,                 1.0702,                0.85705,                 0.5332,                  1.081,                0.54201,                0.53119,                0.44287,                0.24084,                 1.7265,                 2.2191,                 2.0893,                 1.7572,                  2.536,                 1.9521,             0.00025309,             0.00025309,             0.00025309
                    120,                0.77864,                0.51527,                 1.0697,                0.85658,                0.52985,                 1.0797,                0.53605,                0.54315,                0.44907,                0.24256,                 1.7354,                 2.2279,                 2.1142,                 1.7594,                 2.5443,                   1.96,             0.00024575,             0.00024575,             0.00024575
                    121,                0.77484,                0.51729,                 1.0603,                0.85488,                0.53349,                 1.0714,                 0.5306,                0.54782,                0.43792,                0.23576,                 1.7391,                 2.2597,                 2.1118,                 1.7588,                 2.5889,                 1.9602,             0.00023842,             0.00023842,             0.00023842
                    122,                0.77443,                0.51077,                 1.0603,                0.85178,                 0.5238,                  1.072,                0.53937,                0.54942,                0.44284,                 0.2362,                 1.7448,                 2.2757,                 2.1199,                 1.7673,                 2.6033,                 1.9708,             0.00023109,             0.00023109,             0.00023109
                    123,                0.76916,                0.50918,                 1.0553,                0.84944,                0.52028,                  1.067,                0.54556,                0.55065,                0.44743,                0.24089,                 1.7386,                 2.2611,                 2.1104,                 1.7629,                  2.606,                 1.9545,             0.00022376,             0.00022376,             0.00022376
                    124,                0.76959,                0.50373,                 1.0541,                0.84775,                0.51447,                 1.0661,                0.54532,                0.54491,                0.44349,                  0.239,                 1.7425,                 2.2724,                 2.1064,                 1.7629,                 2.6149,                  1.964,             0.00021642,             0.00021642,             0.00021642
                    125,                0.76718,                0.50664,                 1.0626,                0.84533,                0.51944,                 1.0744,                0.53969,                0.54211,                0.44863,                0.24525,                 1.7339,                 2.2295,                  2.101,                 1.7575,                 2.5563,                 1.9493,             0.00020909,             0.00020909,             0.00020909
                    126,                0.76766,                0.50333,                 1.0657,                0.84523,                0.51554,                 1.0768,                0.53728,                0.54674,                0.44603,                0.24342,                 1.7325,                 2.2501,                 2.1022,                 1.7601,                 2.5809,                 1.9568,             0.00020176,             0.00020176,             0.00020176
                    127,                0.76638,                0.49708,                  1.062,                0.84224,                0.51019,                 1.0731,                0.53811,                 0.5391,                0.44799,                0.24496,                 1.7394,                 2.2415,                 2.1202,                 1.7759,                 2.5621,                 1.9851,             0.00019442,             0.00019442,             0.00019442
                    128,                 0.7609,                0.48792,                  1.054,                0.83692,                 0.4983,                 1.0648,                 0.5468,                0.54852,                0.45195,                0.24556,                 1.7446,                 2.2542,                 2.1265,                 1.7768,                 2.5842,                 1.9849,             0.00018709,             0.00018709,             0.00018709
                    129,                0.76187,                0.49065,                 1.0552,                0.83916,                0.50142,                 1.0666,                0.54587,                0.53895,                0.44458,                0.24285,                 1.7349,                 2.2738,                 2.1075,                 1.7719,                 2.5952,                 1.9736,             0.00017976,             0.00017976,             0.00017976
                    130,                0.76142,                0.49347,                 1.0545,                0.83735,                0.50422,                 1.0653,                0.52873,                0.54323,                0.44274,                0.24349,                 1.7412,                 2.3193,                 2.1116,                 1.7703,                 2.6533,                 1.9724,             0.00017243,             0.00017243,             0.00017243
                    131,                0.75475,                0.48466,                 1.0474,                0.83169,                0.49505,                 1.0587,                0.54618,                0.52348,                0.43784,                0.24064,                 1.7448,                 2.3265,                  2.117,                 1.7695,                 2.6815,                  1.966,             0.00016509,             0.00016509,             0.00016509
                    132,                 0.7504,                0.48431,                 1.0467,                0.82501,                0.49326,                 1.0575,                0.55881,                0.52112,                0.43356,                0.23648,                 1.7513,                 2.3218,                  2.128,                 1.7837,                 2.6756,                 1.9792,             0.00015776,             0.00015776,             0.00015776
                    133,                0.75902,                 0.4937,                 1.0515,                0.83482,                0.50268,                  1.063,                0.54132,                0.51508,                0.43226,                0.23724,                 1.7492,                  2.314,                 2.1311,                 1.7832,                 2.6736,                 1.9808,             0.00015043,             0.00015043,             0.00015043
                    134,                 0.7551,                0.47814,                 1.0458,                0.82911,                0.48726,                 1.0567,                0.53209,                0.53311,                0.43938,                0.24042,                 1.7483,                 2.3125,                 2.1333,                 1.7771,                 2.6718,                  1.978,              0.0001431,              0.0001431,              0.0001431
                    135,                0.75585,                0.48182,                 1.0462,                0.83202,                0.49082,                 1.0586,                0.53851,                0.53682,                0.44204,                0.24017,                 1.7538,                  2.307,                 2.1367,                   1.78,                 2.6712,                 1.9824,             0.00013576,             0.00013576,             0.00013576
                    136,                0.75562,                0.47785,                 1.0459,                 0.8307,                0.48674,                 1.0565,                0.52879,                0.54316,                0.44237,                0.24118,                 1.7463,                 2.2822,                 2.1246,                 1.7773,                 2.6315,                 1.9808,             0.00012843,             0.00012843,             0.00012843
                    137,                0.75127,                0.47551,                  1.044,                0.82658,                0.48702,                  1.055,                0.53627,                0.53917,                0.44302,                0.24271,                 1.7455,                 2.2783,                 2.1258,                 1.7836,                 2.6039,                 1.9916,              0.0001211,              0.0001211,              0.0001211
                    138,                0.73881,                 0.4669,                 1.0399,                 0.8142,                0.47493,                  1.051,                0.53799,                0.55145,                0.44818,                0.24377,                 1.7459,                 2.3092,                 2.1275,                 1.7827,                 2.6355,                 1.9903,             0.00011377,             0.00011377,             0.00011377
                    139,                0.74717,                0.47121,                 1.0411,                0.82307,                0.48044,                 1.0523,                0.54532,                0.54903,                0.44519,                0.24029,                 1.7509,                 2.3369,                  2.135,                 1.7889,                 2.6677,                 1.9895,             0.00010643,             0.00010643,             0.00010643
                    140,                0.74047,                0.47045,                 1.0386,                0.81709,                 0.4794,                 1.0507,                0.54053,                0.54615,                0.44205,                0.23976,                 1.7525,                 2.3419,                 2.1368,                 1.7881,                 2.6983,                 1.9854,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                0.74733,                0.46805,                 1.0436,                0.82184,                0.47605,                 1.0546,                0.54573,                0.53902,                0.44288,                0.24196,                 1.7504,                 2.3355,                 2.1364,                 1.7841,                 2.6945,                 1.9805,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                0.74273,                0.46507,                 1.0414,                0.81761,                0.47285,                 1.0528,                0.54303,                0.53829,                0.44039,                0.24204,                 1.7443,                 2.3251,                 2.1316,                 1.7894,                 2.6711,                 1.9871,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                0.73766,                0.45989,                  1.039,                0.81235,                0.46807,                 1.0511,                0.55194,                0.53225,                0.44148,                0.24142,                 1.7439,                 2.3325,                 2.1304,                  1.785,                 2.6835,                 1.9831,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                0.73782,                0.46599,                 1.0379,                0.81215,                0.47575,                  1.048,                0.53798,                0.53492,                0.43681,                0.23983,                 1.7472,                  2.352,                 2.1283,                 1.7787,                 2.7006,                 1.9813,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                0.73286,                0.45585,                 1.0388,                0.80476,                0.46298,                 1.0487,                0.55034,                 0.5388,                0.44002,                0.24075,                 1.7478,                 2.3498,                 2.1335,                 1.7857,                 2.6872,                 1.9898,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                0.73682,                0.46516,                 1.0418,                0.80896,                0.47122,                 1.0517,                0.55627,                0.53461,                 0.4347,                0.23719,                 1.7497,                 2.3539,                  2.141,                 1.7865,                 2.6957,                  1.991,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    147,                0.73288,                0.45815,                 1.0354,                0.80617,                0.46388,                 1.0456,                0.55497,                0.53112,                0.43297,                0.23568,                 1.7539,                 2.3612,                 2.1459,                 1.7883,                 2.7176,                 1.9956,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    148,                0.73171,                0.45502,                 1.0355,                0.80552,                0.46256,                  1.047,                0.55338,                 0.5293,                0.43275,                0.23549,                 1.7552,                 2.3723,                 2.1477,                  1.796,                 2.7184,                 2.0021,              4.044e-05,              4.044e-05,              4.044e-05
                    149,                0.73687,                0.46086,                 1.0387,                 0.8119,                0.47013,                 1.0494,                0.55459,                 0.5326,                0.43461,                0.23572,                  1.755,                 2.3712,                 2.1455,                 1.7973,                 2.7111,                 2.0046,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    150,                0.72983,                0.45459,                 1.0356,                0.80305,                0.46076,                 1.0469,                0.55134,                0.53447,                0.43465,                0.23554,                 1.7557,                 2.3749,                 2.1448,                 1.7931,                 2.7225,                 2.0018,             2.5775e-05,             2.5775e-05,             2.5775e-05
